college,department,course_number,pk_x,pk_y,professor,grade
ENG,Mechanical Engineering,301,0x043109d503c77ce74afa15de64ff93b159acf8a06fea97a079f387d75adf8650,0x1f1628c9f05d3f90f8a2f05c2fd88da4cc10ac7d772e6fe4fbb54e322fd74499,Dr. Emma Davis,B
CAS,English,301,0x043109d503c77ce74afa15de64ff93b159acf8a06fea97a079f387d75adf8650,0x1f1628c9f05d3f90f8a2f05c2fd88da4cc10ac7d772e6fe4fbb54e322fd74499,Dr. Henry Moore,C+
CAS,Economics,302,0x043109d503c77ce74afa15de64ff93b159acf8a06fea97a079f387d75adf8650,0x1f1628c9f05d3f90f8a2f05c2fd88da4cc10ac7d772e6fe4fbb54e322fd74499,Dr. Henry Moore,A-
ENG,Biomedical Engineering,101,0x043109d503c77ce74afa15de64ff93b159acf8a06fea97a079f387d75adf8650,0x1f1628c9f05d3f90f8a2f05c2fd88da4cc10ac7d772e6fe4fbb54e322fd74499,Dr. Bob Johnson,B
ENG,Mechanical Engineering,101,0x08d634ad7dd6a5a3eb791926b8ab511bb1f2c83a33960a5d5e5803af141bee76,0x16c721679c2ed8b86ee167616fb38c93f2b220dbedb272427549c1357b84f5a3,Dr. David Brown,A
CAS,Mathematics,102,0x08d634ad7dd6a5a3eb791926b8ab511bb1f2c83a33960a5d5e5803af141bee76,0x16c721679c2ed8b86ee167616fb38c93f2b220dbedb272427549c1357b84f5a3,Dr. Emma Davis,C+
ENG,Mechanical Engineering,301,0x08d634ad7dd6a5a3eb791926b8ab511bb1f2c83a33960a5d5e5803af141bee76,0x16c721679c2ed8b86ee167616fb38c93f2b220dbedb272427549c1357b84f5a3,Dr. Emma Davis,F
CAS,Economics,302,0x08d634ad7dd6a5a3eb791926b8ab511bb1f2c83a33960a5d5e5803af141bee76,0x16c721679c2ed8b86ee167616fb38c93f2b220dbedb272427549c1357b84f5a3,Dr. Henry Moore,A
ENG,Electrical and Computer Engineering,302,0x26589ffd899076b70494bd27dfeecc03588126010daa7d9741b6ed6159600bb0,0x1de50c8c3b9907274a18277e3b938969ca5fa3c4eb14a2c02c241f6d35077fdc,Dr. Carol Williams,A
CAS,Mathematics,102,0x26589ffd899076b70494bd27dfeecc03588126010daa7d9741b6ed6159600bb0,0x1de50c8c3b9907274a18277e3b938969ca5fa3c4eb14a2c02c241f6d35077fdc,Dr. Emma Davis,B
CAS,Computer Science,102,0x26589ffd899076b70494bd27dfeecc03588126010daa7d9741b6ed6159600bb0,0x1de50c8c3b9907274a18277e3b938969ca5fa3c4eb14a2c02c241f6d35077fdc,Dr. Grace Wilson,A
CAS,Economics,201,0x26589ffd899076b70494bd27dfeecc03588126010daa7d9741b6ed6159600bb0,0x1de50c8c3b9907274a18277e3b938969ca5fa3c4eb14a2c02c241f6d35077fdc,Dr. Henry Moore,C+
CAS,Mathematics,101,0x29bf5a5689a99147b01dcd86b9f6e6e0383ce799b7db2e32cef47f94fb50df7a,0x0e33ba76716736f02eedf3b1f590293683dec4c70f5caec8eefd009e90f6b29e,Dr. Carol Williams,A
CAS,Computer Science,301,0x29bf5a5689a99147b01dcd86b9f6e6e0383ce799b7db2e32cef47f94fb50df7a,0x0e33ba76716736f02eedf3b1f590293683dec4c70f5caec8eefd009e90f6b29e,Dr. Carol Williams,C
ENG,Systems Engineering,201,0x29bf5a5689a99147b01dcd86b9f6e6e0383ce799b7db2e32cef47f94fb50df7a,0x0e33ba76716736f02eedf3b1f590293683dec4c70f5caec8eefd009e90f6b29e,Dr. Emma Davis,C+
CAS,Economics,302,0x29bf5a5689a99147b01dcd86b9f6e6e0383ce799b7db2e32cef47f94fb50df7a,0x0e33ba76716736f02eedf3b1f590293683dec4c70f5caec8eefd009e90f6b29e,Dr. Henry Moore,F
CAS,English,202,0x23e0b70f5ffef753e0c5b5418d54accb8aa1a54a337979c359edb65315db0197,0x09dde8ff55b89a334a0a5816186bbb39f72aca118114e61ea6574ab7c9b6001e,Dr. Henry Moore,C-
ENG,Mechanical Engineering,102,0x23e0b70f5ffef753e0c5b5418d54accb8aa1a54a337979c359edb65315db0197,0x09dde8ff55b89a334a0a5816186bbb39f72aca118114e61ea6574ab7c9b6001e,Dr. Grace Wilson,B
