college,department,course_number,pk_x_hi,pk_x_lo,pk_y_hi,pk_y_lo,professor,grade,major
ENG,Mechanical Engineering,301,0xac62448b0857ab72fc32f88dc00c897b,0x31b9facf197c9cc5944bc1cc552ff0c4,0x24833b30442a57cb88fd05958870966a,0x79add9f3e467412b9f35ef67be85d06e,Dr. Emma Davis,D,Biomedical Engineering
CAS,English,301,0xac62448b0857ab72fc32f88dc00c897b,0x31b9facf197c9cc5944bc1cc552ff0c4,0x24833b30442a57cb88fd05958870966a,0x79add9f3e467412b9f35ef67be85d06e,Dr. Carol Williams,C-,Biomedical Engineering
CAS,Economics,302,0xac62448b0857ab72fc32f88dc00c897b,0x31b9facf197c9cc5944bc1cc552ff0c4,0x24833b30442a57cb88fd05958870966a,0x79add9f3e467412b9f35ef67be85d06e,Dr. Frank Miller,A,Biomedical Engineering
ENG,Biomedical Engineering,101,0xac62448b0857ab72fc32f88dc00c897b,0x31b9facf197c9cc5944bc1cc552ff0c4,0x24833b30442a57cb88fd05958870966a,0x79add9f3e467412b9f35ef67be85d06e,Dr. Henry Moore,C,Biomedical Engineering
ENG,Mechanical Engineering,101,0xc6b5666ec922a91feece24d1cc811985,0xf0cc28296e2d7249fe2c729bc30d989,0x26845ed40be2226f091a288587a44f5b,0x1ca10e3f563faf5682754cce1a109381,Dr. David Brown,B-,Systems Engineering
CAS,Mathematics,102,0xc6b5666ec922a91feece24d1cc811985,0xf0cc28296e2d7249fe2c729bc30d989,0x26845ed40be2226f091a288587a44f5b,0x1ca10e3f563faf5682754cce1a109381,Dr. Alice Smith,D,Systems Engineering
ENG,Mechanical Engineering,301,0xc6b5666ec922a91feece24d1cc811985,0xf0cc28296e2d7249fe2c729bc30d989,0x26845ed40be2226f091a288587a44f5b,0x1ca10e3f563faf5682754cce1a109381,Dr. Henry Moore,B,Systems Engineering
CAS,Economics,302,0xc6b5666ec922a91feece24d1cc811985,0xf0cc28296e2d7249fe2c729bc30d989,0x26845ed40be2226f091a288587a44f5b,0x1ca10e3f563faf5682754cce1a109381,Dr. Frank Miller,B+,Systems Engineering
ENG,Electrical and Computer Engineering,302,0x9c3536bfdd32e6b09064ac29aba98806,0x815dcb410d0dcbb114233a33b3de2902,0xd2568bc7a008d02ba012e1f2c71fb330,0xbbee3420458be94c63fb0b7146a353ef,Dr. Carol Williams,C,English
CAS,Mathematics,102,0x9c3536bfdd32e6b09064ac29aba98806,0x815dcb410d0dcbb114233a33b3de2902,0xd2568bc7a008d02ba012e1f2c71fb330,0xbbee3420458be94c63fb0b7146a353ef,Dr. Alice Smith,C,English
CAS,Computer Science,102,0x9c3536bfdd32e6b09064ac29aba98806,0x815dcb410d0dcbb114233a33b3de2902,0xd2568bc7a008d02ba012e1f2c71fb330,0xbbee3420458be94c63fb0b7146a353ef,Dr. Emma Davis,B,English
CAS,Economics,201,0x9c3536bfdd32e6b09064ac29aba98806,0x815dcb410d0dcbb114233a33b3de2902,0xd2568bc7a008d02ba012e1f2c71fb330,0xbbee3420458be94c63fb0b7146a353ef,Dr. Henry Moore,F,English
CAS,Mathematics,101,0x3e6c77e8feed5fda8685435ac7d853e,0xd57665f86827690486c7fa38825e4349,0xd52e1139e019a9a04f5fc7deea46d128,0x8ab1cf16108cf60657cf22dcc4662d7a,Dr. David Brown,D,Computer Science
CAS,Computer Science,301,0x3e6c77e8feed5fda8685435ac7d853e,0xd57665f86827690486c7fa38825e4349,0xd52e1139e019a9a04f5fc7deea46d128,0x8ab1cf16108cf60657cf22dcc4662d7a,Dr. Alice Smith,C-,Computer Science
ENG,Systems Engineering,201,0x3e6c77e8feed5fda8685435ac7d853e,0xd57665f86827690486c7fa38825e4349,0xd52e1139e019a9a04f5fc7deea46d128,0x8ab1cf16108cf60657cf22dcc4662d7a,Dr. Grace Wilson,F,Computer Science
CAS,Economics,302,0x3e6c77e8feed5fda8685435ac7d853e,0xd57665f86827690486c7fa38825e4349,0xd52e1139e019a9a04f5fc7deea46d128,0x8ab1cf16108cf60657cf22dcc4662d7a,Dr. Frank Miller,B,Computer Science
CAS,English,202,0x129675d997dced5e3ecd01ff4902ee09,0x45592e016240ee0906cefd362629f42a,0x32185da333351586550de82f43e68c88,0x6a3f5e82e3efffea2ce2a955baf1cea9,Dr. David Brown,C+,Mechanical Engineering
ENG,Mechanical Engineering,102,0x129675d997dced5e3ecd01ff4902ee09,0x45592e016240ee0906cefd362629f42a,0x32185da333351586550de82f43e68c88,0x6a3f5e82e3efffea2ce2a955baf1cea9,Dr. Emma Davis,C+,Mechanical Engineering
CAS,English,302,0x129675d997dced5e3ecd01ff4902ee09,0x45592e016240ee0906cefd362629f42a,0x32185da333351586550de82f43e68c88,0x6a3f5e82e3efffea2ce2a955baf1cea9,Dr. David Brown,A-,Mechanical Engineering
CAS,Economics,102,0x129675d997dced5e3ecd01ff4902ee09,0x45592e016240ee0906cefd362629f42a,0x32185da333351586550de82f43e68c88,0x6a3f5e82e3efffea2ce2a955baf1cea9,Dr. Carol Williams,B,Mechanical Engineering
CAS,Economics,202,0x2d64c1e3ae319648fa2f09b73e44dfe6,0xe2b5632844b06dc1bce85d0b32bb592a,0x5ad4a46c2a1d2ffd85cf02450c8bc641,0xb6291540afcbd4c77b9271e0c576875c,Dr. Carol Williams,B+,Economics
CAS,Mathematics,301,0x2d64c1e3ae319648fa2f09b73e44dfe6,0xe2b5632844b06dc1bce85d0b32bb592a,0x5ad4a46c2a1d2ffd85cf02450c8bc641,0xb6291540afcbd4c77b9271e0c576875c,Dr. Bob Johnson,C-,Economics
CAS,English,301,0x2d64c1e3ae319648fa2f09b73e44dfe6,0xe2b5632844b06dc1bce85d0b32bb592a,0x5ad4a46c2a1d2ffd85cf02450c8bc641,0xb6291540afcbd4c77b9271e0c576875c,Dr. Carol Williams,B,Economics
ENG,Electrical and Computer Engineering,201,0x2d64c1e3ae319648fa2f09b73e44dfe6,0xe2b5632844b06dc1bce85d0b32bb592a,0x5ad4a46c2a1d2ffd85cf02450c8bc641,0xb6291540afcbd4c77b9271e0c576875c,Dr. Alice Smith,B-,Economics
CAS,Mathematics,301,0x7f53157ae95bec310d5f6e950cd74545,0xb1e2c83d70bb3831bb31c9a25238a396,0xf9479fe8f1d504956d48b2bf75528af1,0xbb1f194ec469d6444c819e120e0c0faa,Dr. Bob Johnson,A,Systems Engineering
ENG,Mechanical Engineering,301,0x7f53157ae95bec310d5f6e950cd74545,0xb1e2c83d70bb3831bb31c9a25238a396,0xf9479fe8f1d504956d48b2bf75528af1,0xbb1f194ec469d6444c819e120e0c0faa,Dr. Emma Davis,C-,Systems Engineering
CAS,English,201,0x7f53157ae95bec310d5f6e950cd74545,0xb1e2c83d70bb3831bb31c9a25238a396,0xf9479fe8f1d504956d48b2bf75528af1,0xbb1f194ec469d6444c819e120e0c0faa,Dr. Henry Moore,D,Systems Engineering
ENG,Mechanical Engineering,201,0x7f53157ae95bec310d5f6e950cd74545,0xb1e2c83d70bb3831bb31c9a25238a396,0xf9479fe8f1d504956d48b2bf75528af1,0xbb1f194ec469d6444c819e120e0c0faa,Dr. Bob Johnson,A,Systems Engineering
ENG,Electrical and Computer Engineering,101,0x9e2eacca7595b18c893878a6589a0a6d,0xec077317b91e4f003e5b4bee4df8f21c,0xd10fc72002b34e26c48965934ef55878,0x1d6f8248986dac98d48db16c4498ae2c,Dr. Carol Williams,D,Electrical and Computer Engineering
ENG,Biomedical Engineering,102,0x9e2eacca7595b18c893878a6589a0a6d,0xec077317b91e4f003e5b4bee4df8f21c,0xd10fc72002b34e26c48965934ef55878,0x1d6f8248986dac98d48db16c4498ae2c,Dr. Henry Moore,A,Electrical and Computer Engineering
ENG,Mechanical Engineering,301,0x9e2eacca7595b18c893878a6589a0a6d,0xec077317b91e4f003e5b4bee4df8f21c,0xd10fc72002b34e26c48965934ef55878,0x1d6f8248986dac98d48db16c4498ae2c,Dr. Henry Moore,C-,Electrical and Computer Engineering
CAS,Economics,101,0x9e2eacca7595b18c893878a6589a0a6d,0xec077317b91e4f003e5b4bee4df8f21c,0xd10fc72002b34e26c48965934ef55878,0x1d6f8248986dac98d48db16c4498ae2c,Dr. Emma Davis,C-,Electrical and Computer Engineering
ENG,Biomedical Engineering,102,0x8be9344bb8fed2bfb257a490fc6a24ae,0x70ba83c92237472c6a08373f79e4602e,0x740d68e7bc5fbdb4b871d7fbd6d3ea2a,0xb7a453237808162051b8275a0509c8bb,Dr. Henry Moore,A-,Mechanical Engineering
CAS,English,101,0x8be9344bb8fed2bfb257a490fc6a24ae,0x70ba83c92237472c6a08373f79e4602e,0x740d68e7bc5fbdb4b871d7fbd6d3ea2a,0xb7a453237808162051b8275a0509c8bb,Dr. Henry Moore,A-,Mechanical Engineering
ENG,Systems Engineering,301,0x8be9344bb8fed2bfb257a490fc6a24ae,0x70ba83c92237472c6a08373f79e4602e,0x740d68e7bc5fbdb4b871d7fbd6d3ea2a,0xb7a453237808162051b8275a0509c8bb,Dr. Alice Smith,B+,Mechanical Engineering
